|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|1,210,816,623|0            |2025-02-07 00:21:04.741|
|1,210,816,562|0            |2025-02-07 00:21:04.644|
|1,210,821,427|0            |2025-02-07 00:21:04.510|
|1,210,818,415|0            |2025-02-07 00:21:04.413|
|1,210,816,721|0            |2025-02-07 00:21:03.973|
|1,210,817,928|0            |2025-02-07 00:21:03.823|
|1,210,818,450|0            |2025-02-07 00:21:03.281|
|1,210,816,426|0            |2025-02-07 00:21:02.522|
|1,210,816,363|0            |2025-02-07 00:21:02.419|
|1,210,822,549|0            |2025-02-07 00:21:02.316|
|1,210,818,320|0            |2025-02-07 00:21:02.274|
|1,210,816,567|0            |2025-02-07 00:21:01.853|
|1,210,816,509|0            |2025-02-07 00:21:01.742|
|1,210,817,906|0            |2025-02-07 00:21:01.694|
|1,210,816,433|0            |2025-02-07 00:21:01.647|
|1,210,817,896|0            |2025-02-07 00:21:01.597|
|1,210,816,361|0            |2025-02-07 00:21:01.558|
|1,210,817,887|0            |2025-02-07 00:21:01.500|
|1,210,816,284|0            |2025-02-07 00:21:01.474|
|1,210,818,311|0            |2025-02-07 00:21:01.126|
|1,210,818,253|0            |2025-02-07 00:21:01.008|
|1,210,818,180|0            |2025-02-07 00:21:00.912|
|1,210,819,773|0            |2025-02-07 00:21:00.665|
|1,210,819,673|0            |2025-02-07 00:21:00.570|
|1,210,819,620|0            |2025-02-07 00:21:00.480|
|1,210,819,559|0            |2025-02-07 00:21:00.385|
|1,210,819,100|0            |2025-02-07 00:21:00.325|
|1,210,819,511|0            |2025-02-07 00:21:00.286|
|1,210,818,408|0            |2025-02-07 00:21:00.222|
|1,210,819,487|0            |2025-02-07 00:21:00.186|
|1,210,817,663|0            |2025-02-07 00:21:00.116|
|1,210,819,409|0            |2025-02-07 00:21:00.064|
|1,210,819,375|0            |2025-02-07 00:20:59.967|
|1,210,822,980|0            |2025-02-07 00:20:58.170|
|1,210,818,145|0            |2025-02-07 00:20:58.098|
|1,210,819,293|0            |2025-02-07 00:20:57.841|
|1,210,815,965|0            |2025-02-07 00:20:55.278|
|1,210,820,344|0            |2025-02-07 00:20:55.171|
|1,210,819,578|0            |2025-02-07 00:20:55.059|
|1,210,802,474|0            |2025-02-07 00:20:53.912|
|1,210,819,107|0            |2025-02-07 00:20:53.679|
|1,210,817,837|0            |2025-02-07 00:20:53.299|
|1,210,824,142|0            |2025-02-07 00:20:52.932|
|1,210,823,273|0            |2025-02-07 00:20:52.836|
|1,210,822,425|0            |2025-02-07 00:20:52.730|
|1,210,821,558|0            |2025-02-07 00:20:52.634|
|1,210,820,598|0            |2025-02-07 00:20:52.530|
|1,210,819,710|0            |2025-02-07 00:20:52.401|
|1,210,818,773|0            |2025-02-07 00:20:52.282|
|1,210,818,976|0            |2025-02-07 00:20:51.536|
|1,210,817,765|0            |2025-02-07 00:20:50.679|
|1,210,817,699|0            |2025-02-07 00:20:50.577|
|1,210,817,618|0            |2025-02-07 00:20:50.468|
|1,210,817,849|0            |2025-02-07 00:20:47.823|
